dataset	sample	effect_id	block_size	high_source_spots	neighbor_spots	background_spots	neighbor_mean	background_mean	observed_delta	observed_ratio	block_null_delta_mean	block_null_ratio_mean	block_empirical_p_delta_ge_observed	survives_block_delta_p_0_05	source_variant	target_family	target_variant
GSE217414	19G02977	hla_drb5_no_ptprc_to_glutamate_transamination_minus_GOT2	12	420	1125	772	0.04106396182051211	0.027161698788497245	0.013902263032014868	1.5118333407740447	0.008024633621331441	1.2457036837598583	0.0891089108910891	0	hla_drb5_no_ptprc	glutamate_transamination	glutamate_transamination_minus_GOT2
GSE217414	19G02977	hla_drb5_no_ptprc_to_glutamate_transamination_minus_GLUD1	12	420	1125	772	0.041509614382519905	0.021249330664834244	0.02026028371768566	1.9534551481762497	0.010562636747213144	1.3719477875387813	0.009900990099009901	1	hla_drb5_no_ptprc	glutamate_transamination	glutamate_transamination_minus_GLUD1
GSE217414	19G02977	hla_drb5_no_ptprc_to_glutamate_transamination_minus_GLS	12	420	1125	772	0.0397968014889518	0.025665267051537086	0.014131534437414717	1.5506092887729521	0.008571471374269522	1.2770939895819782	0.10891089108910891	0	hla_drb5_no_ptprc	glutamate_transamination	glutamate_transamination_minus_GLS
GSE217414	19G02977	hla_drb5_no_cd74_ptprc_to_pyruvate_mito_entry	12	54	266	1997	0.14087907199684452	0.12083049863312456	0.020048573363719957	1.165923120325714	0.026583437506410013	1.2214069902875329	0.7227722772277227	0	hla_drb5_no_cd74_ptprc	pyruvate_mito_entry	pyruvate_mito_entry
GSE217414	19G02977	hla_drb5_no_cd74_ptprc_to_pyruvate_mito_entry_minus_MPC1	12	54	266	1997	0.1756782858105305	0.14832156303001767	0.02735672278051282	1.184441980125144	0.02910746770529924	1.196312001593757	0.5148514851485149	0	hla_drb5_no_cd74_ptprc	pyruvate_mito_entry	pyruvate_mito_entry_minus_MPC1
GSE217414	19G02977	hla_drb5_no_cd74_ptprc_to_pyruvate_mito_entry_minus_MPC2	12	54	266	1997	0.1141009101145661	0.09868631450388256	0.015414595610683549	1.1561979053344535	0.020451592584823857	1.208139838427409	0.7029702970297029	0	hla_drb5_no_cd74_ptprc	pyruvate_mito_entry	pyruvate_mito_entry_minus_MPC2
GSE217414	19G02977	hla_drb5_no_cd74_ptprc_to_pyruvate_mito_entry_minus_PDHA1	12	54	266	1997	0.16654943754916635	0.143970793238296	0.02257864431087034	1.1568279496348879	0.02797004108631935	1.1952682437668365	0.6831683168316832	0	hla_drb5_no_cd74_ptprc	pyruvate_mito_entry	pyruvate_mito_entry_minus_PDHA1
GSE217414	19G02977	hla_drb5_no_cd74_ptprc_to_pyruvate_mito_entry_minus_PDHB	12	54	266	1997	0.10718765451311515	0.09234332376030199	0.014844330752813162	1.1607515318740853	0.02020595859365374	1.22123380287787	0.7227722772277227	0	hla_drb5_no_cd74_ptprc	pyruvate_mito_entry	pyruvate_mito_entry_minus_PDHB
GSE217414	19G02977	hla_drb5_no_cd74_ptprc_to_glutamate_transamination	12	54	266	1997	0.04957223003484324	0.038763379661882556	0.010808850372960685	1.2788417952005724	0.007615687368316652	1.1955172517889356	0.25742574257425743	0	hla_drb5_no_cd74_ptprc	glutamate_transamination	glutamate_transamination
GSE217414	19G02977	hla_drb5_no_cd74_ptprc_to_glutamate_transamination_minus_GOT1	12	54	266	1997	0.05378823207215237	0.04291981139264854	0.010868420679503832	1.25322619850481	0.009679081501663944	1.2267983570053467	0.4158415841584158	0	hla_drb5_no_cd74_ptprc	glutamate_transamination	glutamate_transamination_minus_GOT1
GSE217414	19G02977	hla_drb5_no_cd74_ptprc_to_glutamate_transamination_minus_GOT2	12	54	266	1997	0.04857659913561143	0.03950558716577363	0.009071011969837797	1.2296133944744057	0.006710536398690828	1.169645852957568	0.3564356435643564	0	hla_drb5_no_cd74_ptprc	glutamate_transamination	glutamate_transamination_minus_GOT2
GSE217414	19G02977	hla_drb5_no_cd74_ptprc_to_glutamate_transamination_minus_GLUD1	12	54	266	1997	0.04734748979599774	0.035504173504090054	0.011843316291907685	1.3335753271525486	0.007655909564649104	1.2147849247910767	0.24752475247524752	0	hla_drb5_no_cd74_ptprc	glutamate_transamination	glutamate_transamination_minus_GLUD1
GSE217414	19G02977	hla_drb5_no_cd74_ptprc_to_glutamate_transamination_minus_GLS	12	54	266	1997	0.04857659913561143	0.03712394658501798	0.011452652550593447	1.3084977111570182	0.0077948090617198885	1.2079038748695563	0.19801980198019803	0	hla_drb5_no_cd74_ptprc	glutamate_transamination	glutamate_transamination_minus_GLS
GSE217414	19G02977	hla_drb5_only_to_pyruvate_mito_entry	12	0	0	2317	nan	0.12409940745959504	nan	nan	nan	nan	nan		hla_drb5_only	pyruvate_mito_entry	pyruvate_mito_entry
GSE217414	19G02977	hla_drb5_only_to_pyruvate_mito_entry_minus_MPC1	12	0	0	2317	nan	0.15259267083999087	nan	nan	nan	nan	nan		hla_drb5_only	pyruvate_mito_entry	pyruvate_mito_entry_minus_MPC1
GSE217414	19G02977	hla_drb5_only_to_pyruvate_mito_entry_minus_MPC2	12	0	0	2317	nan	0.10147131649731514	nan	nan	nan	nan	nan		hla_drb5_only	pyruvate_mito_entry	pyruvate_mito_entry_minus_MPC2
GSE217414	19G02977	hla_drb5_only_to_pyruvate_mito_entry_minus_PDHA1	12	0	0	2317	nan	0.14765365314645254	nan	nan	nan	nan	nan		hla_drb5_only	pyruvate_mito_entry	pyruvate_mito_entry_minus_PDHA1
GSE217414	19G02977	hla_drb5_only_to_pyruvate_mito_entry_minus_PDHB	12	0	0	2317	nan	0.09467998935462157	nan	nan	nan	nan	nan		hla_drb5_only	pyruvate_mito_entry	pyruvate_mito_entry_minus_PDHB
GSE217414	19G02977	hla_drb5_only_to_glutamate_transamination	12	0	0	2317	nan	0.04049081180992428	nan	nan	nan	nan	nan		hla_drb5_only	glutamate_transamination	glutamate_transamination
GSE217414	19G02977	hla_drb5_only_to_glutamate_transamination_minus_GOT1	12	0	0	2317	nan	0.044721374199890994	nan	nan	nan	nan	nan		hla_drb5_only	glutamate_transamination	glutamate_transamination_minus_GOT1
GSE217414	19G02977	hla_drb5_only_to_glutamate_transamination_minus_GOT2	12	0	0	2317	nan	0.04098093472532804	nan	nan	nan	nan	nan		hla_drb5_only	glutamate_transamination	glutamate_transamination_minus_GOT2
GSE217414	19G02977	hla_drb5_only_to_glutamate_transamination_minus_GLUD1	12	0	0	2317	nan	0.03723299762436039	nan	nan	nan	nan	nan		hla_drb5_only	glutamate_transamination	glutamate_transamination_minus_GLUD1
GSE217414	19G02977	hla_drb5_only_to_glutamate_transamination_minus_GLS	12	0	0	2317	nan	0.03902794069011769	nan	nan	nan	nan	nan		hla_drb5_only	glutamate_transamination	glutamate_transamination_minus_GLS
GSE217414	19G0619	hla_drb5_original_to_pyruvate_mito_entry	12	1498	1674	207	0.138254637105663	0.0876309648802655	0.05062367222539749	1.577691599020587	0.024701549659101683	1.2236346321279696	0.019801980198019802	1	hla_drb5_original	pyruvate_mito_entry	pyruvate_mito_entry
GSE217414	19G0619	hla_drb5_original_to_pyruvate_mito_entry_minus_MPC1	12	1498	1674	207	0.15704226529511497	0.10121478002096716	0.05582748527414781	1.5515744366838802	0.028466202271116327	1.227517042025274	0.009900990099009901	1	hla_drb5_original	pyruvate_mito_entry	pyruvate_mito_entry_minus_MPC1
GSE217414	19G0619	hla_drb5_original_to_pyruvate_mito_entry_minus_MPC2	12	1498	1674	207	0.11136914803307621	0.0673500755312552	0.04401907250182101	1.6535860896160843	0.01531009131311572	1.1672377112662948	0.009900990099009901	1	hla_drb5_original	pyruvate_mito_entry	pyruvate_mito_entry_minus_MPC2
GSE217414	19G0619	hla_drb5_original_to_pyruvate_mito_entry_minus_PDHA1	12	1498	1674	207	0.17170914128267528	0.10791185422927582	0.06379728705339946	1.591198135821594	0.029028065457616724	1.2104939041962628	0.019801980198019802	1	hla_drb5_original	pyruvate_mito_entry	pyruvate_mito_entry_minus_PDHA1
GSE217414	19G0619	hla_drb5_original_to_pyruvate_mito_entry_minus_PDHB	12	1498	1674	207	0.11289799381178554	0.07404714973956385	0.038850844072221696	1.5246771038300135	0.02596065037830129	1.2969000846212748	0.06930693069306931	0	hla_drb5_original	pyruvate_mito_entry	pyruvate_mito_entry_minus_PDHB
GSE217414	19G0619	hla_drb5_original_to_glutamate_transamination	12	1498	1674	207	0.06997770470493986	0.03997725317642751	0.03000045152851235	1.7504380402554032	0.01998202924804671	1.3709018009731286	0.0594059405940594	0	hla_drb5_original	glutamate_transamination	glutamate_transamination
GSE217414	19G0619	hla_drb5_original_to_glutamate_transamination_minus_GOT1	12	1498	1674	207	0.05711273113934263	0.035254472955662586	0.021858258183680042	1.6200137557344807	0.018576745859004234	1.442952495513337	0.33663366336633666	0	hla_drb5_original	glutamate_transamination	glutamate_transamination_minus_GOT1
GSE217414	19G0619	hla_drb5_original_to_glutamate_transamination_minus_GOT2	12	1498	1674	207	0.06385528557154874	0.03590739583506382	0.027947889736484918	1.7783324044121744	0.014701148792354981	1.2920602390914881	0.04950495049504951	1	hla_drb5_original	glutamate_transamination	glutamate_transamination_minus_GOT2
GSE217414	19G0619	hla_drb5_original_to_glutamate_transamination_minus_GLUD1	12	1498	1674	207	0.06908974930315744	0.03879267678390127	0.030297072519256167	1.7809997925131393	0.020858953698316078	1.4084808559297954	0.12871287128712872	0	hla_drb5_original	glutamate_transamination	glutamate_transamination_minus_GLUD1
GSE217414	19G0619	hla_drb5_original_to_glutamate_transamination_minus_GLS	12	1498	1674	207	0.08985305280571058	0.04995446713108235	0.039898585674628236	1.7986990546797925	0.026068838604096808	1.3810462681182438	0.04950495049504951	1	hla_drb5_original	glutamate_transamination	glutamate_transamination_minus_GLS
GSE217414	19G0619	hla_drb5_no_ptprc_to_pyruvate_mito_entry	12	1455	1695	229	0.138646232858234	0.08570860422865455	0.052937628629579445	1.6176466074322216	0.023003023444993262	1.2031810429985454	0.009900990099009901	1	hla_drb5_no_ptprc	pyruvate_mito_entry	pyruvate_mito_entry
GSE217414	19G0619	hla_drb5_no_ptprc_to_pyruvate_mito_entry_minus_MPC1	12	1455	1695	229	0.15681209195415824	0.10015286891646046	0.056659223037697784	1.5657274090166942	0.026121326277380428	1.2079251154767359	0.009900990099009901	1	hla_drb5_no_ptprc	pyruvate_mito_entry	pyruvate_mito_entry_minus_MPC1
GSE217414	19G0619	hla_drb5_no_ptprc_to_pyruvate_mito_entry_minus_MPC2	12	1455	1695	229	0.11217034735714215	0.06592450190350686	0.04624584545363529	1.7014970779957495	0.016769999763356795	1.182959304641131	0.009900990099009901	1	hla_drb5_no_ptprc	pyruvate_mito_entry	pyruvate_mito_entry_minus_MPC2
GSE217414	19G0619	hla_drb5_no_ptprc_to_pyruvate_mito_entry_minus_PDHA1	12	1455	1695	229	0.17211512721332986	0.10620655608292287	0.06590857113040699	1.6205697045571044	0.028973601281710278	1.2070399904750497	0.009900990099009901	1	hla_drb5_no_ptprc	pyruvate_mito_entry	pyruvate_mito_entry_minus_PDHA1
GSE217414	19G0619	hla_drb5_no_ptprc_to_pyruvate_mito_entry_minus_PDHB	12	1455	1695	229	0.11348736490830566	0.07055049001172803	0.04293687489657763	1.6085978267399699	0.02408486050835661	1.2735557453409838	0.04950495049504951	1	hla_drb5_no_ptprc	pyruvate_mito_entry	pyruvate_mito_entry_minus_PDHB
GSE217414	19G0619	hla_drb5_no_ptprc_to_glutamate_transamination	12	1455	1695	229	0.07060180476994463	0.03840677638838626	0.03219502838155837	1.8382642702420022	0.019887565897318847	1.3689024386980422	0.039603960396039604	1	hla_drb5_no_ptprc	glutamate_transamination	glutamate_transamination
GSE217414	19G0619	hla_drb5_no_ptprc_to_glutamate_transamination_minus_GOT1	12	1455	1695	229	0.05784799856351746	0.03388547607945613	0.023962522484061333	1.7071620427546297	0.01898711528115073	1.449605106835248	0.22772277227722773	0	hla_drb5_no_ptprc	glutamate_transamination	glutamate_transamination_minus_GOT1
GSE217414	19G0619	hla_drb5_no_ptprc_to_glutamate_transamination_minus_GOT2	12	1455	1695	229	0.06469990369853236	0.03447567274336903	0.030224230955163328	1.8766828476458544	0.013248809083602448	1.2611108766409798	0.0297029702970297	1	hla_drb5_no_ptprc	glutamate_transamination	glutamate_transamination_minus_GOT2
GSE217414	19G0619	hla_drb5_no_ptprc_to_glutamate_transamination_minus_GLUD1	12	1455	1695	229	0.0692676925019635	0.03708376512943607	0.032183927372527434	1.8678710821350963	0.01919939277207603	1.364000954819252	0.039603960396039604	1	hla_drb5_no_ptprc	glutamate_transamination	glutamate_transamination_minus_GLUD1
GSE217414	19G0619	hla_drb5_no_ptprc_to_glutamate_transamination_minus_GLS	12	1455	1695	229	0.0905916243157652	0.04818219160128381	0.042409432714481395	1.8801889516655237	0.02313143148040629	1.321265776816321	0.019801980198019802	1	hla_drb5_no_ptprc	glutamate_transamination	glutamate_transamination_minus_GLS
GSE217414	19G0619	hla_drb5_no_cd74_ptprc_to_pyruvate_mito_entry	12	153	687	2539	0.14062163439519437	0.14159441855423033	-0.0009727841590359554	0.9931297845708277	0.003543816466967321	1.025437155646727	0.8118811881188119	0	hla_drb5_no_cd74_ptprc	pyruvate_mito_entry	pyruvate_mito_entry
