effect_id	claim_layer	datasets	n_samples	positive_samples	p_le_0_05_samples	mean_ratio	median_ratio	min_ratio	max_ratio	mean_empirical_p	paper_grade_status
caf_to_hla_drb5_lite	CAF-to-myeloid	GSE217414,GSE225857	6	6	6	1.4169038112279038	1.410225991618577	1.0799523317819097	1.859380205747312	0.010645375914836991	strong_reproducible
caf_to_met	CAF-to-MET	GSE217414,GSE225857	6	6	5	1.722746924893755	1.8345573131271942	1.012313341387682	1.9548003427597689	0.08649367930805058	strong_reproducible
caf_to_spp1_cxcl12_lite	CAF-to-stromal/myeloid	GSE217414,GSE225857	6	6	5	1.3986553491738938	1.4155794422797574	1.0218814760411894	1.585217569319232	0.02295409181636726	strong_reproducible
hla_drb5_lite_to_myc	myeloid-to-MYC	GSE217414,GSE225857	6	6	5	1.329949562288353	1.394461509549672	1.0391975515624654	1.5345552867373693	0.02428476380572189	strong_reproducible
hla_drb5_lite_to_myc_glycolysis_lite	myeloid-to-tumor-metabolic	GSE217414,GSE225857	6	6	6	1.3570049214680806	1.382095566487176	1.0522550816439686	1.561499508865821	0.006320691949434464	strong_reproducible
spp1_cxcl12_lite_to_myc	stromal/myeloid-to-MYC	GSE217414,GSE225857	6	6	6	1.6254208822771872	1.569821953900878	1.3441442733486915	2.1248780585083638	0.001996007984031936	strong_reproducible
spp1_cxcl12_lite_to_myc_glycolysis_lite	stromal/myeloid-to-tumor-metabolic	GSE217414,GSE225857	6	6	6	1.717882460558987	1.6463026461065322	1.455178386213577	2.1432567941261578	0.001996007984031936	strong_reproducible
