gene_symbol	caf_core	caf_core_desoverlap_2026	crlm_metabolic_vulnerabilities_2026	cxcl13_t_cells	glut1_invasive_margin_axis	hgf_met_axis	hla_drb5_macrophage_axis	hla_drb5_macrophage_axis_desoverlap_2026	macrophage_lipid_candidate	marco_cash_macrophage_axis	mcam_caf	myc_glycolysis_core	myc_glycolysis_desoverlap_2026	plasticity_emt	radioresistance_morf4l1	sema3c_nrp2_lmic_axis	spp1_cxcl12_axis_desoverlap_2026	spp1_cxcl12_caf_myeloid_axis	spp1_macrophage_fads1_pdgfb_axis	stromal_myeloid_risk_2026
POSTN	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRF1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTPRC	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
RAD51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
SEMA3C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
SHMT1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC2A1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
SOD2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPP1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0
TOX	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TPI1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
VIM	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
ZBTB20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ZEB1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
