cohort	sample_key	sample	sample_type	technology	n_spots	reaction	description	metric	mean	median	q25	q75	pct_negative	pct_positive	pct_zero
CRC_VisiumHD	CRC_P1	P1	crc_visiumhd	VisiumHD	26687	ASPGLUm	aspartate_glutamate_mitochondrial_transport	meanNormalized	0.03920770638185263	0.028366644901	0.013362869468	0.0604473384275	0.0	1.0	0.0
CRC_VisiumHD	CRC_P1	P1	crc_visiumhd	VisiumHD	26687	ASPGLUm	aspartate_glutamate_mitochondrial_transport	meanFlux	39.207706381852624	28.366644900999997	13.362869468	60.4473384275	0.0	1.0	0.0
CRC_VisiumHD	CRC_P1	P1	crc_visiumhd	VisiumHD	26687	ALATA_L	alanine_transaminase	meanNormalized	0.03433865834583764	0.021467134036999996	0.0065097339005	0.0473701594085	0.014314085509798779	0.9833252145239255	0.0023606999662757148
CRC_VisiumHD	CRC_P1	P1	crc_visiumhd	VisiumHD	26687	ALATA_L	alanine_transaminase	meanFlux	34.338658345837636	21.467134037	6.509733900500001	47.3701594085	0.014314085509798779	0.9833252145239255	0.0023606999662757148
CRC_VisiumHD	CRC_P1	P1	crc_visiumhd	VisiumHD	26687	GLUN	glutaminase	meanNormalized	0.04322827223198719	0.026865918441000003	0.009514860838	0.064908653431	0.0	1.0	0.0
CRC_VisiumHD	CRC_P1	P1	crc_visiumhd	VisiumHD	26687	GLUN	glutaminase	meanFlux	43.22827223198718	26.865918440999998	9.514860838	64.90865343099999	0.0	1.0	0.0
CRC_VisiumHD	CRC_P1	P1	crc_visiumhd	VisiumHD	26687	GLUNm	glutaminase_mitochondrial	meanNormalized	0.10028286452255453	0.05999082416699998	0.030823918579500002	0.17045973783449997	0.0	0.9999625285719639	3.747142803612246e-05
CRC_VisiumHD	CRC_P1	P1	crc_visiumhd	VisiumHD	26687	GLUNm	glutaminase_mitochondrial	meanFlux	100.28286452255453	59.990824167	30.823918579500003	170.4597378345	0.0	0.9999625285719639	3.747142803612246e-05
CRC_VisiumHD	CRC_P1	P1	crc_visiumhd	VisiumHD	26687	GLUDym	glutamate_dehydrogenase	meanNormalized	0.11820327397450929	0.112302037788	0.0722364414515	0.15895804502649996	0.007157042754899389	0.9928429572451006	0.0
CRC_VisiumHD	CRC_P1	P1	crc_visiumhd	VisiumHD	26687	GLUDym	glutamate_dehydrogenase	meanFlux	118.2032739745093	112.302037788	72.23644145150001	158.95804502649997	0.007157042754899389	0.9928429572451006	0.0
