dataset	sample	effect_id	source	target	high_source_spots	neighbor_spots	background_spots	neighbor_mean	background_mean	observed_delta	observed_ratio	block_null_delta_mean	block_null_ratio_mean	block_empirical_p_delta_ge_observed	survives_block_delta_p_0_05
GSE217414	19G0635	hla_drb5_to_lactate_import_anabolic	score_hla_drb5_macrophage_axis_desoverlap_2026	score_lactate_import_anabolic_proxy	1058	921	112	0.5251480131731444	0.2505114563419348	0.27463655683120963	2.096303382055092	0.18307908874302783	1.5181312162399498	0.001996007984031936	1
GSE217414	19G0635	cxcl12_fn1_cd44_to_lactate_export_glycolytic	score_spp1_cxcl12_axis_desoverlap_2026	score_lactate_export_glycolytic_proxy	523	615	953	0.896272870311772	0.5705518635342435	0.3257210067775286	1.5708876398367586	0.19867181406696227	1.2820424089356148	0.001996007984031936	1
GSE217414	19G0635	hla_drb5_to_lactate_export_glycolytic	score_hla_drb5_macrophage_axis_desoverlap_2026	score_lactate_export_glycolytic_proxy	1058	921	112	0.8144574256632259	0.5286673907590048	0.28579003490422106	1.5405857064380573	0.1710668885861272	1.2679407028768308	0.003992015968063872	1
GSE217414	19G0635	lactate_import_anabolic_to_myc_glycolysis	score_lactate_import_anabolic_proxy	score_myc_glycolysis_desoverlap_2026	533	604	954	1.4218032389889441	0.9840923103221328	0.43771092866681127	1.4447864535426873	0.30699024721432994	1.2597956526843852	0.001996007984031936	1
GSE217414	19G0635	lactate_export_glycolytic_to_myc_glycolysis	score_lactate_export_glycolytic_proxy	score_myc_glycolysis_desoverlap_2026	524	644	923	1.3704308428649496	0.9899484921402842	0.3804823507246654	1.384345603579896	0.3020767828915865	1.2575107894423805	0.001996007984031936	1
GSE217414	19G0635	cxcl12_fn1_cd44_to_pyruvate_mito_entry	score_spp1_cxcl12_axis_desoverlap_2026	score_pyruvate_mito_entry_proxy	523	615	953	0.7830969366233516	0.42924676411646884	0.3538501725068827	1.8243514036389368	0.2275274624759384	1.3875987455399301	0.001996007984031936	1
GSE217414	19G0635	hla_drb5_to_pyruvate_mito_entry	score_hla_drb5_macrophage_axis_desoverlap_2026	score_pyruvate_mito_entry_proxy	1058	921	112	0.6904779590750527	0.34685900184253426	0.34361895723251845	1.9906589000348716	0.2459338090524845	1.5336450111141686	0.001996007984031936	1
GSE217414	19G0635	cxcl12_fn1_cd44_to_glutamate_transamination	score_spp1_cxcl12_axis_desoverlap_2026	score_glutamate_transamination_proxy	523	615	953	0.37147328089317944	0.2104852451942378	0.16098803569894163	1.7648423790958854	0.1311754191105533	1.4449495424578536	0.01996007984031936	1
GSE217414	19G0635	hla_drb5_to_glutamate_transamination	score_hla_drb5_macrophage_axis_desoverlap_2026	score_glutamate_transamination_proxy	1058	921	112	0.3506775149293611	0.16618802024280388	0.18448949468655723	2.110125112610491	0.1292934053714279	1.5543616441199843	0.005988023952095809	1
GSE217414	19G081	cxcl12_fn1_cd44_to_lactate_import_anabolic	score_spp1_cxcl12_axis_desoverlap_2026	score_lactate_import_anabolic_proxy	724	679	1484	0.22979622308052883	0.11091684343395841	0.11887937964657042	2.071788341302311	0.13157830732307796	1.91490532035021	0.9720558882235529	0
GSE217414	19G081	hla_drb5_to_lactate_import_anabolic	score_hla_drb5_macrophage_axis_desoverlap_2026	score_lactate_import_anabolic_proxy	1276	1472	139	0.2125036387748022	0.12485331925315192	0.08765031952165027	1.7020263461633003	0.06071571140345606	1.3939586872216543	0.011976047904191617	1
GSE217414	19G081	cxcl12_fn1_cd44_to_lactate_export_glycolytic	score_spp1_cxcl12_axis_desoverlap_2026	score_lactate_export_glycolytic_proxy	724	679	1484	0.37566675996159465	0.1800059005313076	0.19566085943028705	2.08696914297127	0.1826683251533812	1.8166935262699058	0.06187624750499002	0
GSE217414	19G081	hla_drb5_to_lactate_export_glycolytic	score_hla_drb5_macrophage_axis_desoverlap_2026	score_lactate_export_glycolytic_proxy	1276	1472	139	0.30940322476083454	0.23033104914136163	0.07907217561947291	1.343297944042897	0.07212145649633292	1.2965650842809773	0.34331337325349304	0
