accession	archive_or_file	name	time	size_bytes	type	url
GSE225857	File	GSM7058760_L1_tissue_positions_list.csv.gz	09/22/2023 13:47:08	66432	CSV	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7058nnn/GSM7058760/suppl/GSM7058760_L1_tissue_positions_list.csv.gz
GSE225857	File	GSM7058761_L2.barcodes.tsv.gz	02/17/2023 06:10:57	27222	TSV	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7058nnn/GSM7058761/suppl/GSM7058761_L2.barcodes.tsv.gz
GSE225857	File	GSM7058761_L2.features.tsv.gz	02/17/2023 06:10:59	155265	TSV	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7058nnn/GSM7058761/suppl/GSM7058761_L2.features.tsv.gz
GSE225857	File	GSM7058761_L2.matrix.mtx.gz	02/17/2023 06:12:01	23055732	MTX	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7058nnn/GSM7058761/suppl/GSM7058761_L2.matrix.mtx.gz
GSE225857	File	GSM7058761_L2_aligned_fiducials.jpg.gz	09/22/2023 13:47:08	2549895	JPG	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7058nnn/GSM7058761/suppl/GSM7058761_L2_aligned_fiducials.jpg.gz
GSE225857	File	GSM7058761_L2_detected_tissue_image.jpg.gz	09/22/2023 13:47:09	2639290	JPG	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7058nnn/GSM7058761/suppl/GSM7058761_L2_detected_tissue_image.jpg.gz
GSE225857	File	GSM7058761_L2_scalefactors_json.json.gz	09/22/2023 13:47:09	162	JSON	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7058nnn/GSM7058761/suppl/GSM7058761_L2_scalefactors_json.json.gz
GSE225857	File	GSM7058761_L2_tissue_hires_image.png.gz	02/22/2023 14:36:56	7566766	PNG	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7058nnn/GSM7058761/suppl/GSM7058761_L2_tissue_hires_image.png.gz
GSE225857	File	GSM7058761_L2_tissue_lowres_image.png.gz	02/22/2023 14:36:56	685210	PNG	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7058nnn/GSM7058761/suppl/GSM7058761_L2_tissue_lowres_image.png.gz
GSE225857	File	GSM7058761_L2_tissue_positions_list.csv.gz	09/22/2023 13:47:09	67212	CSV	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7058nnn/GSM7058761/suppl/GSM7058761_L2_tissue_positions_list.csv.gz
GSE226997	Archive	GSE226997_RAW.tar	03/15/2023 16:33:26	44193679360	TAR	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE226nnn/GSE226997/suppl/GSE226997_RAW.tar
GSE226997	File	GSM7089855_Ajou_Visium_P1.tar.gz	03/09/2023 11:13:54	12863232737	TAR	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7089nnn/GSM7089855/suppl/GSM7089855_Ajou_Visium_P1.tar.gz
GSE226997	File	GSM7089856_Ajou_Visium_P2.tar.gz	03/09/2023 11:20:18	9722628803	TAR	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7089nnn/GSM7089856/suppl/GSM7089856_Ajou_Visium_P2.tar.gz
GSE226997	File	GSM7089857_Ajou_Visium_P3.tar.gz	03/09/2023 11:27:10	9824252182	TAR	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7089nnn/GSM7089857/suppl/GSM7089857_Ajou_Visium_P3.tar.gz
GSE226997	File	GSM7089858_Ajou_Visium_P4.tar.gz	03/09/2023 11:35:24	11783555645	TAR	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7089nnn/GSM7089858/suppl/GSM7089858_Ajou_Visium_P4.tar.gz
