cohort	sample_key	sample	sample_type	technology	anchor	target_reaction	target_description	pearson_r	spearman_r	n_spots
CRC_VisiumHD	CRC_P2	P2	crc_visiumhd	VisiumHD	lactate_uptake_score_minus_EX_lac__L_e	AKGDm	alpha_ketoglutarate_dehydrogenase	0.11879960055278137	0.22123992077259327	31414
CRC_VisiumHD	CRC_P2	P2	crc_visiumhd	VisiumHD	lactate_uptake_score_minus_EX_lac__L_e	AKGMALtm	akg_malate_transport	0.17152615710781707	0.2633588239687277	31414
CRC_VisiumHD	CRC_P2	P2	crc_visiumhd	VisiumHD	lactate_uptake_score_minus_EX_lac__L_e	MDHm	malate_dehydrogenase_mitochondrial	0.47682433528290163	0.5108308052837488	31414
CRC_VisiumHD	CRC_P2	P2	crc_visiumhd	VisiumHD	lactate_uptake_score_minus_EX_lac__L_e	MDH	malate_dehydrogenase_cytosol	-0.5883100431655421	-0.5564995405479101	31414
CRC_VisiumHD	CRC_P2	P2	crc_visiumhd	VisiumHD	lactate_uptake_score_minus_EX_lac__L_e	CSm	citrate_synthase_mitochondrial	0.4854120502646978	0.538624219686112	31414
CRC_VisiumHD	CRC_P2	P2	crc_visiumhd	VisiumHD	lactate_uptake_score_minus_EX_lac__L_e	Biomass	biomass_synthesis	-0.042538710043880705	0.04846448457449425	31414
CRC_VisiumHD	CRC_P2	P2	crc_visiumhd	VisiumHD	lactate_uptake_score_minus_EX_lac__L_e	ATPS4mi	atp_synthase	0.16738496278652792	0.21249949667257972	31414
CRC_VisiumHD	CRC_P5	P5	crc_visiumhd	VisiumHD	lactate_uptake_score_minus_EX_lac__L_e	PYRt2m	pyruvate_transport_to_mitochondria	0.6647213086820506	0.5815963845973858	31773
CRC_VisiumHD	CRC_P5	P5	crc_visiumhd	VisiumHD	lactate_uptake_score_minus_EX_lac__L_e	PDHm	pyruvate_dehydrogenase_mitochondrial	0.6493634817460215	0.5271118440424354	31773
CRC_VisiumHD	CRC_P5	P5	crc_visiumhd	VisiumHD	lactate_uptake_score_minus_EX_lac__L_e	LDH_L	lactate_dehydrogenase_l	-0.9999999999999998	-1.0	31773
CRC_VisiumHD	CRC_P5	P5	crc_visiumhd	VisiumHD	lactate_uptake_score_minus_EX_lac__L_e	ASPTA	aspartate_transaminase_cytosol	0.47487388595722463	0.5036170948013566	31773
CRC_VisiumHD	CRC_P5	P5	crc_visiumhd	VisiumHD	lactate_uptake_score_minus_EX_lac__L_e	ASPTAm	aspartate_transaminase_mitochondria	0.5582187004496912	0.4064814172288513	31773
CRC_VisiumHD	CRC_P5	P5	crc_visiumhd	VisiumHD	lactate_uptake_score_minus_EX_lac__L_e	ASPGLUm	aspartate_glutamate_mitochondrial_transport	0.5832818113046221	0.42940085403599015	31773
CRC_VisiumHD	CRC_P5	P5	crc_visiumhd	VisiumHD	lactate_uptake_score_minus_EX_lac__L_e	ALATA_L	alanine_transaminase	-0.005629635891308337	0.022262274449836538	31773
CRC_VisiumHD	CRC_P5	P5	crc_visiumhd	VisiumHD	lactate_uptake_score_minus_EX_lac__L_e	GLUN	glutaminase	0.6102116267476767	0.3103653915117327	31773
CRC_VisiumHD	CRC_P5	P5	crc_visiumhd	VisiumHD	lactate_uptake_score_minus_EX_lac__L_e	GLUNm	glutaminase_mitochondrial	0.6547363362682007	0.4363228952740858	31773
CRC_VisiumHD	CRC_P5	P5	crc_visiumhd	VisiumHD	lactate_uptake_score_minus_EX_lac__L_e	GLUDym	glutamate_dehydrogenase	-0.07666089309457662	-0.06296926502173017	31773
CRC_VisiumHD	CRC_P5	P5	crc_visiumhd	VisiumHD	lactate_uptake_score_minus_EX_lac__L_e	AKGDm	alpha_ketoglutarate_dehydrogenase	0.4026317191869476	0.35754474755846444	31773
CRC_VisiumHD	CRC_P5	P5	crc_visiumhd	VisiumHD	lactate_uptake_score_minus_EX_lac__L_e	AKGMALtm	akg_malate_transport	0.0006364305761353648	0.017404449796739493	31773
CRC_VisiumHD	CRC_P5	P5	crc_visiumhd	VisiumHD	lactate_uptake_score_minus_EX_lac__L_e	MDHm	malate_dehydrogenase_mitochondrial	0.6093678729079703	0.4308144081015115	31773
CRC_VisiumHD	CRC_P5	P5	crc_visiumhd	VisiumHD	lactate_uptake_score_minus_EX_lac__L_e	MDH	malate_dehydrogenase_cytosol	-0.6010129867562952	-0.5847751273697548	31773
CRC_VisiumHD	CRC_P5	P5	crc_visiumhd	VisiumHD	lactate_uptake_score_minus_EX_lac__L_e	CSm	citrate_synthase_mitochondrial	0.6981744688261883	0.5442370009377775	31773
