dataset	sample	effect_id	source	target	block_size	high_source_spots	neighbor_spots	background_spots	observed_neighbor_vs_background_ratio	block_null_permutations	block_null_ratio_mean	block_null_ratio_sd	block_z_score	block_empirical_p_ge_observed	survives_block_p_0_05
GSE217414	19G081	spp1_cxcl12_lite_to_myc	score_spp1_cxcl12_axis_desoverlap_2026	MYC	12	724	679	1484	1.7657838288745078	500	1.6095335831351958	0.04436960960087067	3.521560075575826	0.001996007984031936	1
GSE217414	19G081	hla_drb5_lite_to_myc	score_hla_drb5_macrophage_axis_desoverlap_2026	MYC	12	1276	1472	139	1.5345552867373693	500	1.2772658654326343	0.09127699650635308	2.818776155576362	0.007984031936127744	1
GSE225857	L1	caf_to_spp1_cxcl12_lite	score_caf_core	score_spp1_cxcl12_axis_desoverlap_2026	12	1169	941	2562	1.585217569319232	500	1.4457081592408174	0.01557817166102098	8.95544182681521	0.001996007984031936	1
GSE225857	L1	caf_to_hla_drb5_lite	score_caf_core	score_hla_drb5_macrophage_axis_desoverlap_2026	12	1169	941	2562	1.859380205747312	500	1.681010383946784	0.02472971020227092	7.21277444586263	0.001996007984031936	1
GSE225857	L1	spp1_cxcl12_lite_to_myc_glycolysis_lite	score_spp1_cxcl12_axis_desoverlap_2026	score_myc_glycolysis_desoverlap_2026	12	1171	1197	2304	1.4707621666634847	500	1.3103668849885783	0.01531208504169544	10.475077772762061	0.001996007984031936	1
GSE225857	L1	hla_drb5_lite_to_myc_glycolysis_lite	score_hla_drb5_macrophage_axis_desoverlap_2026	score_myc_glycolysis_desoverlap_2026	12	1185	1087	2400	1.2223412595037682	500	1.1444900195512346	0.013538308415564504	5.750440717027155	0.001996007984031936	1
GSE225857	L1	caf_to_met	score_caf_core	MET	12	1169	941	2562	1.9548003427597689	500	1.5052399397674647	0.06228275549060362	7.218055775649292	0.001996007984031936	1
GSE225857	L1	spp1_cxcl12_lite_to_myc	score_spp1_cxcl12_axis_desoverlap_2026	MYC	12	1171	1197	2304	1.3441442733486915	500	1.2217276257535787	0.015304560824536422	7.998703719668529	0.001996007984031936	1
GSE225857	L1	hla_drb5_lite_to_myc	score_hla_drb5_macrophage_axis_desoverlap_2026	MYC	12	1185	1087	2400	1.1321107438031703	500	1.0739399032898023	0.014611752068531604	3.9810996135533183	0.001996007984031936	1
GSE225857	L2	caf_to_spp1_cxcl12_lite	score_caf_core	score_spp1_cxcl12_axis_desoverlap_2026	12	1218	815	2763	1.4241247970128283	500	1.4209987394855035	0.027284525780030457	0.11457254388539995	0.4630738522954092	0
GSE225857	L2	caf_to_hla_drb5_lite	score_caf_core	score_hla_drb5_macrophage_axis_desoverlap_2026	12	1218	815	2763	1.0799523317819097	500	1.056548727274506	0.03472964012330331	0.6738798451211166	0.2375249500998004	0
GSE225857	L2	spp1_cxcl12_lite_to_myc_glycolysis_lite	score_spp1_cxcl12_axis_desoverlap_2026	score_myc_glycolysis_desoverlap_2026	12	1505	1846	1445	1.7336641337654477	500	1.570078913626442	0.03277309794287977	4.9914481818019905	0.001996007984031936	1
GSE225857	L2	hla_drb5_lite_to_myc_glycolysis_lite	score_hla_drb5_macrophage_axis_desoverlap_2026	score_myc_glycolysis_desoverlap_2026	12	1486	2343	967	1.0522550816439686	500	1.0060479593683247	0.019644964707975814	2.3521102207368156	0.015968063872255488	1
GSE225857	L2	caf_to_met	score_caf_core	MET	12	1218	815	2763	1.8750795143022179	500	1.8798003495166333	0.1539055459061281	-0.030673587404672555	0.5349301397205589	0
GSE225857	L2	spp1_cxcl12_lite_to_myc	score_spp1_cxcl12_axis_desoverlap_2026	MYC	12	1505	1846	1445	1.6658809481932855	500	1.5226384617309865	0.040060080883496656	3.575691394105743	0.001996007984031936	1
GSE225857	L2	hla_drb5_lite_to_myc	score_hla_drb5_macrophage_axis_desoverlap_2026	MYC	12	1486	2343	967	1.0391975515624654	500	0.9851080594094802	0.02507655457673248	2.1569746349114745	0.017964071856287425	1
