sample_id	caf_core	cxcl13_t_cells	hgf_met_axis	macrophage_lipid_candidate	mcam_caf	myc_glycolysis_core	plasticity_emt
TCGA-D5-6529-01	1.091605	0.773895	0.732604	0.865210	0.894945	0.723083	0.428080
TCGA-AA-3514-11	-0.986932	1.183606	-0.924006	0.435154	-0.964654	0.163707	-0.102056
TCGA-D5-6927-01	0.629673	0.712020	0.081424	0.380041	0.452222	0.856996	0.054702
TCGA-AA-3520-11	-0.612230	1.055703	-0.576330	0.475862	-0.579972	-0.344427	0.294506
TCGA-A6-A565-01	0.613237	1.380251	-0.021417	0.407377	0.742966	-0.131292	0.444520
TCGA-A6-2675-01	0.989977	-0.015190	0.715510	0.815302	0.777137	-0.036004	0.576556
TCGA-G4-6306-01	-2.043492	-0.098107	-0.349060	-1.225750	-2.231821	0.324584	-0.240173
TCGA-G4-6320-01	-0.958181	-0.424802	-1.341929	-0.834403	-1.237939	-0.833848	-0.218373
TCGA-DM-A28K-01	-0.447240	-1.124283	-1.012275	-0.741866	-0.202103	0.078061	-0.722572
TCGA-A6-2671-11	-0.316988	0.614013	-1.118892	0.138644	0.028900	-0.441077	0.392758
TCGA-AZ-6600-01	0.923533	0.262457	0.067017	0.523978	1.113430	-0.002665	-0.012942
TCGA-D5-6926-01	1.280256	-0.139176	0.223856	0.353197	1.179615	0.129145	0.603562
TCGA-AD-6964-01	1.166337	1.501633	-0.062222	1.279051	1.057125	-0.227557	-0.365076
TCGA-A6-2686-01	0.134439	1.432895	-0.057441	1.277693	-0.206983	0.325774	-0.349197
TCGA-AZ-6608-01	-1.809020	-1.470774	-0.854249	-1.685920	-1.498213	0.842068	-0.523155
TCGA-5M-AATE-01	-0.405397	-0.529355	0.065297	-0.512419	-0.401502	-0.294719	0.044619
TCGA-CK-5915-01	-0.800603	-1.956249	0.536968	-1.420970	-0.762762	0.236546	-0.051220
TCGA-D5-6922-01	0.735984	-0.086507	1.205585	0.229699	0.670661	-0.359283	0.219970
TCGA-G4-6321-01	-1.713113	0.702307	-0.306745	-0.485971	-1.810745	-0.346910	0.188554
TCGA-A6-A5ZU-01	0.848032	0.122541	0.316689	0.638869	0.660796	-0.691185	0.349736
TCGA-F4-6463-01	0.686710	0.250747	0.131522	-0.014773	0.696015	-0.407007	0.360116
TCGA-AA-3526-01	0.122160	0.732949	0.058872	0.081781	-0.042841	0.702993	-0.215518
TCGA-AA-3527-11	-0.502920	0.777267	-0.535046	0.560224	-0.257773	-0.373843	0.079503
TCGA-F4-6570-01	1.081275	1.012177	-0.432706	1.037253	1.140093	-0.333255	-0.013345
TCGA-G4-6317-01	-1.177861	-0.853409	-0.319241	-1.865355	-1.371010	-0.354596	-0.490865
TCGA-SS-A7HO-01	-0.463125	-0.792300	-0.476048	-1.114214	-0.514166	-0.787006	-0.098220
TCGA-4T-AA8H-01	-1.652223	-1.134990	-0.853263	-1.836557	-1.490468	0.011084	-0.623300
TCGA-CM-6162-01	1.527454	0.949221	0.366274	1.091583	1.471019	-0.023313	0.646852
TCGA-AA-3489-11	-0.297589	1.100681	-0.477114	1.342974	0.070704	-0.238993	-0.371738
TCGA-DM-A1D4-01	-1.382959	-0.428682	-0.278448	-0.952149	-1.322204	-0.265801	-0.286058
TCGA-QG-A5YV-01	-0.659476	-0.393586	-0.202474	-0.287528	-0.670845	-0.008288	0.012029
TCGA-CA-5796-01	-1.096375	-0.100643	0.280755	-0.076648	-1.293549	-0.218400	-0.285857
TCGA-G4-6626-01	-0.614581	-0.661697	0.003069	-1.203397	-0.417798	0.683123	-0.522672
