sample_id	tissue	x	y	pearson_r	n_spots
C4	CCT	score_hla_drb5_macrophage_axis	score_myc_glycolysis_core	0.7391320257960305	4016
C4	CCT	score_crlm_metabolic_vulnerabilities_2026	score_myc_glycolysis_core	0.6974906464198711	4016
C4	CCT	score_glut1_invasive_margin_axis	score_cxcl13_t_cells	0.11069014579818394	4016
C4	CCT	score_caf_core_desoverlap_2026	score_spp1_cxcl12_axis_desoverlap_2026	0.7698587826059463	4016
C4	CCT	score_caf_core_desoverlap_2026	score_hla_drb5_macrophage_axis_desoverlap_2026	0.5355349405314894	4016
C4	CCT	score_spp1_cxcl12_axis_desoverlap_2026	score_myc_glycolysis_desoverlap_2026	0.6892891720420063	4016
C4	CCT	score_hla_drb5_macrophage_axis_desoverlap_2026	score_myc_glycolysis_desoverlap_2026	0.4672639001032601	4016
C4	CCT	MET	score_myc_glycolysis_core	0.5885509994586845	4016
C4	CCT	MYC	score_myc_glycolysis_core	0.4601338847520933	4016
C4	CCT	SPP1	CXCL12	-0.10522716750007968	4016
C4	CCT	SPP1	CD44	0.4028068077737028	4016
C4	CCT	MIF	CXCR4	0.13590302831772536	4016
C4	CCT	HLA-DRB5	LGALS9	nan	4016
L1	LCT	score_caf_core	score_spp1_cxcl12_caf_myeloid_axis	0.755502983726666	4672
L1	LCT	score_mcam_caf	score_spp1_cxcl12_caf_myeloid_axis	0.7386465845694975	4672
L1	LCT	score_caf_core	score_hla_drb5_macrophage_axis	0.7476625200834329	4672
L1	LCT	score_spp1_cxcl12_caf_myeloid_axis	score_hla_drb5_macrophage_axis	0.8863321669181018	4672
L1	LCT	score_spp1_cxcl12_caf_myeloid_axis	score_myc_glycolysis_core	0.7018316324068544	4672
L1	LCT	score_hla_drb5_macrophage_axis	score_myc_glycolysis_core	0.6524753814617579	4672
L1	LCT	score_crlm_metabolic_vulnerabilities_2026	score_myc_glycolysis_core	0.7796637806560803	4672
L1	LCT	score_glut1_invasive_margin_axis	score_cxcl13_t_cells	0.19169212104955569	4672
L1	LCT	score_caf_core_desoverlap_2026	score_spp1_cxcl12_axis_desoverlap_2026	0.759806557618933	4672
L1	LCT	score_caf_core_desoverlap_2026	score_hla_drb5_macrophage_axis_desoverlap_2026	0.6893340958899481	4672
L1	LCT	score_spp1_cxcl12_axis_desoverlap_2026	score_myc_glycolysis_desoverlap_2026	0.43456407900517807	4672
L1	LCT	score_hla_drb5_macrophage_axis_desoverlap_2026	score_myc_glycolysis_desoverlap_2026	0.16712358179712747	4672
L1	LCT	MET	score_myc_glycolysis_core	0.5606671272498998	4672
L1	LCT	MYC	score_myc_glycolysis_core	0.8948167965553557	4672
L1	LCT	SPP1	CXCL12	-0.19736727958750241	4672
L1	LCT	SPP1	CD44	0.24666992090628403	4672
L1	LCT	MIF	CXCR4	0.20658061644033784	4672
L1	LCT	HLA-DRB5	LGALS9	nan	4672
L2	LCT	score_caf_core	score_spp1_cxcl12_caf_myeloid_axis	0.6739283727768751	4796
L2	LCT	score_mcam_caf	score_spp1_cxcl12_caf_myeloid_axis	0.6682549747648814	4796
L2	LCT	score_caf_core	score_hla_drb5_macrophage_axis	0.5298817951333108	4796
L2	LCT	score_spp1_cxcl12_caf_myeloid_axis	score_hla_drb5_macrophage_axis	0.688742724358884	4796
L2	LCT	score_spp1_cxcl12_caf_myeloid_axis	score_myc_glycolysis_core	0.6303344132985981	4796
L2	LCT	score_hla_drb5_macrophage_axis	score_myc_glycolysis_core	0.4582668674096929	4796
L2	LCT	score_crlm_metabolic_vulnerabilities_2026	score_myc_glycolysis_core	0.6478511372068305	4796
L2	LCT	score_glut1_invasive_margin_axis	score_cxcl13_t_cells	0.0681529525286565	4796
L2	LCT	score_caf_core_desoverlap_2026	score_spp1_cxcl12_axis_desoverlap_2026	0.6398888539340838	4796
L2	LCT	score_caf_core_desoverlap_2026	score_hla_drb5_macrophage_axis_desoverlap_2026	0.2911259353563427	4796
L2	LCT	score_spp1_cxcl12_axis_desoverlap_2026	score_myc_glycolysis_desoverlap_2026	0.5295838571069081	4796
L2	LCT	score_hla_drb5_macrophage_axis_desoverlap_2026	score_myc_glycolysis_desoverlap_2026	0.11113461117745631	4796
L2	LCT	MET	score_myc_glycolysis_core	0.26626389308169646	4796
L2	LCT	MYC	score_myc_glycolysis_core	0.7861365725654282	4796
L2	LCT	SPP1	CXCL12	-0.012119186301102047	4796
L2	LCT	SPP1	CD44	0.1278586285810704	4796
L2	LCT	MIF	CXCR4	0.037223409300779824	4796
L2	LCT	HLA-DRB5	LGALS9	nan	4796
