sample_id	tissue	n_spots	mean_HGF	mean_MET	mean_MYC	mean_caf_score	mean_tumor_score	mean_glycolysis_score
C1	CCT	2054	0.054306576719762405	1.0921553414136274	3.260830228154217	1.316083639588406	3.2001173752955516	1.3677199553734585
C2	CCT	3305	0.05259822854780865	0.4038688261407721	1.6822717099660092	1.498765472995169	1.7762018177738859	0.6907614936129025
C3	CCT	3417	0.01580724731710176	0.7149610441378463	2.0657879541316664	0.5754303149246406	1.9240436467010045	0.8201332966649945
C4	CCT	4016	0.019246186790120287	0.32497315522431086	0.31212965267396137	1.2320957705382067	0.6255974723214742	0.3710899854753518
L1	LCT	4672	0.08542348376102009	0.33275594893987653	1.418773699109843	0.7103644624837114	1.1723775139786414	0.4863861687019211
L2	LCT	4796	0.011357578230146768	0.11752848082780731	0.7097860955621099	0.3819242846486151	0.7188094065175508	0.19002017960169829
